species,wood_density,wood_density_sd
Abarema cochleata,0.511571429,0.09413391
Abarema jupunba,0.585142857,0.070823262
Acacia mangium,0.507,0.070823262
Adenanthera pavonina,0.687,0.070823262
Aegiphila sellowiana,0.656666667,0.09413391
Alchornea glandulosa,0.378,0.070823262
Alexa grandiflora,0.66,0.070823262
Alibertia edulis,0.76,0.070823262
Allantoma lineata,0.545,0.070823262
Amaioua guianensis,0.625,0.070823262
Amphiodon effusus,0.702416609,0.123401724
Anacardium occidentale,0.454380952,0.09413391
Anadenanthera colubrina,0.866142857,0.070823262
Andira inermis,0.64325,0.070823262
Andira surinamensis,0.70475,0.070823262
Annona exsucca,0.518777778,0.09413391
Annona glabra,0.5,0.070823262
Annona montana,0.518777778,0.09413391
Annona paludosa,0.518777778,0.09413391
Apeiba burchellii,0.254761111,0.09413391
Apeiba echinata,0.254761111,0.09413391
Apeiba petoumo,0.254761111,0.09413391
Apeiba tibourbou,0.2,0.070823262
Apuleia leiocarpa,0.79925,0.070823262
Artocarpus heterophyllus,0.491666667,0.070823262
Aspidosperma album,0.766166667,0.070823262
Astrocaryum aculeatum,0.508,0.09413391
Astrocaryum gynacanthum,0.508,0.09413391
Astronium fraxinifolium,0.85,0.070823262
Astronium graveolens,0.867692308,0.070823262
Attalea maripa,0.326,0.09413391
Banara guianensis,0.61,0.070823262
Bauhinia longipedicellata,0.755333333,0.09413391
Bauhinia ungulata,0.755333333,0.09413391
Bellucia grossularioides,0.5975,0.070823262
Bertholletia excelsa,0.638,0.070823262
Bixa orellana,0.36,0.070823262
Brosimum guianense,0.668357908,0.09413391
Brosimum potabile,0.5425,0.070823262
Buchenavia congesta,0.745398148,0.09413391
Byrsonima chrysophylla,0.648677083,0.09413391
Byrsonima coccolobifolia,0.62,0.070823262
Byrsonima crassifolia,0.584,0.070823262
Byrsonima crispa,0.58,0.070823262
Byrsonima densa,0.648677083,0.09413391
Calophyllum brasiliense,0.589066667,0.070823262
Caraipa densifolia,0.6406,0.070823262
Caraipa punctulata,0.6,0.070823262
Carapa guianensis,0.53,0.070823262
Carapa procera,0.5638125,0.070823262
Carica papaya,0.1875,0.09413391
Caryocar villosum,0.758,0.070823262
Casearia arborea,0.573666667,0.070823262
Casearia grandiflora,0.624615385,0.09413391
Casearia javitensis,0.753,0.070823262
Cassia fastuosa,0.805,0.070823262
Cassia grandis,0.735827778,0.09413391
Cassia lucens,0.735827778,0.09413391
Castilla ulei,0.5675,0.09413391
Cecropia distachya,0.339835034,0.09413391
Cecropia obtusa,0.31,0.070823262
Cecropia pachystachya,0.41,0.070823262
Cecropia purpurascens,0.32,0.070823262
Cecropia sciadophylla,0.386857143,0.070823262
Cedrela fissilis,0.4666,0.070823262
Cedrela odorata,0.446857143,0.070823262
Ceiba pentandra,0.305212121,0.070823262
Ceiba samauma,0.57,0.070823262
Ceiba speciosa,0.392,0.070823262
Cenostigma tocantinum,0.84,0.070823262
Chamaecrista bahiae,0.9035,0.09413391
Chimarrhis turbinata,0.72,0.070823262
Chloroleucon tortum,0.667166667,0.09413391
Chrysophyllum sparsiflorum,0.665168724,0.09413391
Clarisia racemosa,0.585428571,0.070823262
Clitoria fairchildiana,0.702416609,0.123401724
Colubrina glandulosa,0.738666667,0.070823262
Connarus perrottetii,0.5,0.09413391
Copaifera langsdorffii,0.65,0.070823262
Copaifera martii,0.608316667,0.09413391
Cordia bicolor,0.475,0.070823262
Cordia nodosa,0.39,0.070823262
Cordia scabrifolia,0.474,0.070823262
Couratari guianensis,0.507125,0.070823262
Couratari multiflora,0.448,0.070823262
Couroupita subsessilis,0.39,0.070823262
Coutarea hexandra,0.6,0.070823262
Croton matourensis,0.388333333,0.070823262
Cupania diphylla,0.608357143,0.09413391
Cupania scrobiculata,0.628,0.070823262
Dendrobangia boliviana,0.635333333,0.070823262
Dendropanax cuneatus,0.419833333,0.09413391
Dialium guianense,0.896384615,0.070823262
Didymopanax morototoni,0.575,0.09413391
Dinizia excelsa,0.9054,0.070823262
Diospyros capreifolia,0.73,0.070823262
Diplotropis purpurea,0.761846154,0.070823262
Dipteryx alata,0.9775,0.070823262
Dipteryx odorata,0.92275,0.070823262
Ecclinusa guianensis,0.627428571,0.070823262
Ecclinusa ramiflora,0.961,0.070823262
Enterolobium contortisiliquum,0.397333333,0.070823262
Enterolobium schomburgkii,0.698916667,0.070823262
Enterolobium timbouva,0.531,0.070823262
Ephedranthus amazonicus,0.816,0.070823262
Eriotheca globosa,0.41,0.070823262
Erisma calcaratum,0.68,0.070823262
Erythrina falcata,0.32,0.070823262
Eschweilera coriacea,0.852083333,0.070823262
Eschweilera ovata,0.9,0.070823262
Eugenia cupulata,0.722760274,0.09413391
Eugenia flavescens,0.722760274,0.09413391
Eugenia omissa,0.722760274,0.09413391
Eugenia punicifolia,0.722760274,0.09413391
Eugenia tapacumensis,0.722760274,0.09413391
Euterpe oleracea,0.387666667,0.09413391
Ficus amazonica,0.405534662,0.09413391
Ficus insipida,0.376555556,0.070823262
Ficus mathewsii,0.3845,0.070823262
Ficus maxima,0.3605,0.070823262
Fusaea longifolia,0.742666667,0.070823262
Geissospermum sericeum,0.782333333,0.070823262
Geissospermum vellosii,0.771166667,0.09413391
Genipa americana,0.633818182,0.070823262
Goupia glabra,0.7271875,0.070823262
Guapira venosa,0.670777778,0.09413391
Guarea guidonia,0.5651,0.070823262
Guarea kunthiana,0.616166667,0.070823262
Guatteria poeppigiana,0.577092593,0.09413391
Guatteria punctata,0.577092593,0.09413391
Guatteria schomburgkiana,0.6,0.070823262
Guatteria sellowiana,0.577092593,0.09413391
Guazuma ulmifolia,0.518833333,0.070823262
Gustavia augusta,0.65,0.070823262
Gustavia elliptica,0.669,0.070823262
Handroanthus impetiginosus,0.565745691,0.123401724
Handroanthus ochraceus,0.565745691,0.123401724
Handroanthus serratifolius,0.565745691,0.123401724
Hasseltia floribunda,0.53,0.070823262
Heisteria ovata,0.69625,0.09413391
Helicostylis tomentosa,0.614666667,0.070823262
Henriettea succosa,0.69,0.09413391
Hevea brasiliensis,0.466625,0.070823262
Himatanthus articulatus,0.53625,0.070823262
Humiria balsamifera,0.730615385,0.070823262
Hymenaea courbaril,0.79235,0.070823262
Hymenaea intermedia,0.82,0.070823262
Hymenaea parvifolia,0.8774,0.070823262
Inga alba,0.586111111,0.070823262
Inga brachyrhachis,0.578086944,0.09413391
Inga cayennensis,0.53,0.070823262
Inga edulis,0.5874,0.070823262
Inga gracilifolia,0.578086944,0.09413391
Inga heterophylla,0.56,0.070823262
Inga lateriflora,0.562333333,0.070823262
Inga laurina,0.665,0.070823262
Inga marginata,0.5518,0.070823262
Inga rubiginosa,0.662333333,0.070823262
Inga sessilis,0.43,0.070823262
Inga stenoptera,0.578086944,0.09413391
Inga thibaudiana,0.578086944,0.09413391
Inga vera,0.575,0.070823262
Jacaranda copaia,0.350666667,0.070823262
Lacistema pubescens,0.51125,0.09413391
Lacmellea aculeata,0.513125,0.09413391
Laetia procera,0.6481,0.070823262
Lafoensia pacari,0.8,0.070823262
Lecythis idatimon,0.798571429,0.070823262
Lecythis lurida,0.863333333,0.070823262
Lecythis pisonis,0.857,0.070823262
Libidibia ferrea,0.702416609,0.123401724
Licania apetala,0.7634,0.070823262
Licania canescens,0.88,0.070823262
Licania egleri,0.819962424,0.09413391
Licania guianensis,0.819962424,0.09413391
Licania heteromorpha,0.8164,0.070823262
Licania kunthiana,0.88,0.070823262
Licania membranacea,0.88,0.070823262
Licania octandra,0.825,0.070823262
Lindackeria paludosa,0.56,0.070823262
Luehea speciosa,0.568333333,0.09413391
Mabea fistulifera,0.608222222,0.09413391
Mabea speciosa,0.635,0.070823262
Machaerium acutifolium,1.12,0.070823262
Macrolobium acaciifolium,0.551,0.070823262
Macrolobium angustifolium,0.675,0.070823262
Macrolobium bifolium,0.67,0.070823262
Mangifera indica,0.5525,0.070823262
Manilkara huberi,0.921363636,0.070823262
Manilkara subsericea,0.885127237,0.09413391
Maprounea guianensis,0.588,0.070823262
Maquira guianensis,0.766,0.070823262
Margaritaria nobilis,0.622333333,0.070823262
Matayba arborescens,0.696666667,0.070823262
Matayba guianensis,0.82,0.070823262
Matayba inelegans,0.82,0.070823262
Mezilaurus itauba,0.7443,0.070823262
Miconia cuspidata,0.629222222,0.09413391
Miconia minutiflora,0.629222222,0.09413391
Micropholis guyanensis,0.657272727,0.070823262
Minquartia guianensis,0.786714286,0.070823262
Minquartia macrophylla,0.786714286,0.09413391
Myrcia atramentifera,0.8155,0.09413391
Myrcia cuprea,0.8155,0.09413391
Myrcia eximia,0.8155,0.09413391
Myrcia splendens,0.8,0.070823262
Myrcia sylvatica,0.8155,0.09413391
Myrsine umbellata,0.741037037,0.09413391
Naucleopsis ternstroemiiflora,0.612,0.070823262
Nectandra cuspidata,0.518,0.070823262
Neea floribunda,0.62,0.070823262
Ochroma pyramidale,0.157571429,0.070823262
Ocotea canaliculata,0.479333333,0.070823262
Ocotea glomerata,0.508,0.070823262
Ocotea guianensis,0.529666667,0.070823262
Oenocarpus bacaba,0.65,0.070823262
Oenocarpus distichus,0.6815,0.09413391
Ormosia coccinea,0.625,0.070823262
Ormosia coutinhoi,0.591333333,0.070823262
Ormosia nobilis,0.58,0.070823262
Ormosia paraensis,0.6635,0.070823262
Ouratea castaneifolia,0.657,0.070823262
Ouratea discophora,0.791,0.070823262
Ouratea racemiformis,0.742555556,0.09413391
Pachira aquatica,0.376666667,0.070823262
Palicourea guianensis,0.54,0.070823262
Parkia gigantocarpa,0.26,0.070823262
Parkia multijuga,0.399,0.070823262
Parkia pendula,0.5212,0.070823262
Peltogyne venosa,0.765,0.070823262
Peltophorum dubium,0.7438,0.070823262
Pentaclethra macroloba,0.603454545,0.070823262
Persea americana,0.548666667,0.070823262
Piptadenia gonoacantha,0.715,0.070823262
Platymiscium trinitatis,0.864,0.070823262
Poeppigia procera,0.735,0.070823262
Posoqueria longiflora,0.455,0.070823262
Pourouma guianensis,0.38,0.070823262
Pourouma mollis,0.39,0.070823262
Pouteria caimito,0.805,0.070823262
Pouteria cladantha,0.942333333,0.070823262
Pouteria decorticans,0.690657549,0.09413391
Pouteria filipes,0.964,0.070823262
Pouteria macrophylla,0.737,0.070823262
Pouteria pachyphylla,0.690657549,0.09413391
Pouteria venosa,0.92,0.070823262
Pradosia lactescens,0.723833333,0.09413391
Protium heptaphyllum,0.6293,0.070823262
Protium pallidum,0.56821129,0.09413391
Protium subserratum,0.55,0.070823262
Protium tenuifolium,0.56975,0.070823262
Pseudobombax munguba,0.25,0.070823262
Pseudolmedia laevigata,0.629,0.070823262
Pseudopiptadenia suaveolens,0.679714286,0.070823262
Psidium guajava,0.652,0.070823262
Pterocarpus amazonum,0.62688578,0.09413391
Pterocarpus rohrii,0.455833333,0.070823262
Qualea paraensis,0.689333333,0.070823262
Rinorea guianensis,0.78,0.070823262
Rinorea racemosa,0.682,0.070823262
Sacoglottis guianensis,0.835857143,0.070823262
Sagotia racemosa,0.58,0.070823262
Samanea tubulosa,0.702416609,0.123401724
Sapindus saponaria,0.71225,0.070823262
Sapium argutum,0.417140625,0.09413391
Sapium glandulosum,0.41525,0.070823262
Sapium marmieri,0.41,0.070823262
Schizolobium amazonicum,0.58,0.070823262
Senegalia polyphylla,0.702416609,0.123401724
Senna alata,0.602857143,0.09413391
Senna multijuga,0.582,0.070823262
Simaba cedron,0.474333333,0.070823262
Simarouba amara,0.383333333,0.070823262
Siparuna guianensis,0.661833333,0.09413391
Sloanea eichleri,0.75,0.070823262
Sloanea grandiflora,0.81025,0.070823262
Socratea exorrhiza,0.23,0.070823262
Spondias mombin,0.3914375,0.070823262
Sterculia apetala,0.392,0.070823262
Sterculia striata,0.404821667,0.09413391
Stryphnodendron guianense,0.5675,0.070823262
Stryphnodendron pulcherrimum,0.475,0.070823262
Swartzia laurifolia,0.702416609,0.123401724
Swartzia racemosa,0.702416609,0.123401724
Swietenia macrophylla,0.519545455,0.070823262
Syagrus cocoides,0.551760417,0.123401724
Symmeria paniculata,0.67,0.070823262
Symphonia globulifera,0.6004,0.070823262
Syzygium cumini,0.672666667,0.070823262
Tabebuia roseoalba,0.76232284,0.09413391
Tabernaemontana angulata,0.526071429,0.09413391
Tachigali glauca,0.576692308,0.09413391
