spcd,common_name,genus,species,jenkins_spgrpcd,wdsg
10,fir spp.,Abies,spp.,3.0,0.36
11,Pacific silver fir,Abies,amabilis,3.0,0.4
12,balsam fir,Abies,balsamea,3.0,0.33
14,Santa Lucia or bristlecone fir,Abies,bracteata,3.0,0.36
15,white fir,Abies,concolor,3.0,0.37
16,Fraser fir,Abies,fraseri,3.0,0.36
17,grand fir,Abies,grandis,3.0,0.35
18,corkbark fir,Abies,lasiocarpa,3.0,0.36
19,subalpine fir,Abies,lasiocarpa,3.0,0.31
20,California red fir,Abies,magnifica,3.0,0.36
21,Shasta red fir,Abies,shastensis,3.0,0.36
22,noble fir,Abies,procera,3.0,0.37
40,white-cedar spp.,Chamaecyparis,spp.,1.0,0.37
41,Port-Orford-cedar,Chamaecyparis,lawsoniana,1.0,0.39
42,Alaska yellow-cedar,Chamaecyparis,nootkatensis,1.0,0.42
43,Atlantic white-cedar,Chamaecyparis,thyoides,1.0,0.31
50,cypress,Cupressus,spp.,1.0,0.41
51,Arizona cypress,Cupressus,arizonica,1.0,0.41
52,Baker or Modoc cypress,Cupressus,bakeri,1.0,0.41
53,Tecate cypress,Cupressus,forbesii,1.0,0.41
54,Monterey cypress,Cupressus,macrocarpa,1.0,0.41
55,Sargent's cypress,Cupressus,sargentii,1.0,0.41
56,MacNab's cypress,Cupressus,macnabiana,1.0,0.41
57,redcedar/juniper spp.,Juniperus,spp.,1.0,0.45
58,Pinchot juniper,Juniperus,pinchotii,10.0,0.45
59,redberry juniper,Juniperus,coahuilensis,10.0,0.45
60,Drooping juniper,Juniperus,flaccida,10.0,0.45
61,Ashe juniper,Juniperus,ashei,10.0,0.45
62,California juniper,Juniperus,californica,10.0,0.45
63,alligator juniper,Juniperus,deppeana,10.0,0.48
64,western juniper,Juniperus,occidentalis,1.0,0.45
65,Utah juniper,Juniperus,osteosperma,10.0,0.68
66,Rocky Mountain juniper,Juniperus,scopulorum,10.0,0.45
67,southern redcedar,Juniperus,virginiana,1.0,0.42
68,eastern redcedar,Juniperus,virginiana,1.0,0.44
69,oneseed juniper,Juniperus,monosperma,10.0,0.45
70,larch spp.,Larix,spp.,1.0,0.49
71,tamarack,Larix,laricina,1.0,0.49
